Time,C G1 G1,C G1 G2,C G1 G3,C G1 G4,C G2 G2,C G2 G3,C G2 G4,C G3 G3,C G3 G4,C G4 G4,CC G1,CC G2,CC G3,CC G4,CVS G1,CVS G2,CVS G3,CVS G4,CI G1,CI G2,CI G3,CI G4,CAB G1 G3,CAB G1 G4,DME,FINAL TIME,I G1,I0 G1,I G2,I0 G2,I G3,I0 G3,I G4,I0 G4,INITIAL TIME,P G1,P G2,P G3,P G4,PT0 G1,PT0 G2,PT0 G3,PT0 G4,PTE,R G1,R G2,R G3,R G4,S G1,S0 G1,S G2,S0 G2,S G3,S0 G3,S G4,S0 G4,SAVEPER,TC G1,TCS G1 G1,TCS G1 G2,TCS G1 G3,TCS G1 G4,TC G2,TCS G2 G1,TCS G2 G2,TCS G2 G3,TCS G2 G4,TC G3,TCS G3 G1,TCS G3 G2,TCS G3 G3,TCS G3 G4,TC G4,TCS G4 G1,TCS G4 G2,TCS G4 G3,TCS G4 G4,TCONTAGIO G1,TCONTAGIO G2,TCONTAGIO G3,TCONTAGIO G4,Tasa de curacion,TIME STEP,TVS
0,4,1,1,1,4,2,2,4,3,4,0.125,0,0,0,0,0,0,0,0.1998,0.025,0.01,0.005,5,5,8,200,1,1,0,0,0,0,0,0,0,0.001,0,0,0,1000,500,200,100,0.05,0,0,0,0,999,999,500,500,200,200,100,100,1,0.004,0.004,0,0,0,0.001,0.001,0,0,0,0.001,0.001,0,0,0,0.001,0.001,0,0,0,0.0002,0.00005,0.00005,0.00005,0.125,0.1,0.02
1,,,,,,,,,,,0.135252,0.00373916,0.00153118,0.000765588,0.00257388,0.34999,1.42277,0.711387,0.225247,0.0391554,0.016303,0.00815148,,,,,108.202,,0.0299133,,0.0122494,,0.0061247,,,0.00108202,5.98266,0.61247,0.61247,,,,,,0.128694,0.00174995,0.000711387,0.000355694,998.789,999,499.968,500,199.987,200,999.935,100,,0.0045104,0.00432808,5.98266,0.61247,0.61247,0.00156631,0.00108202,0.000239307,0.000122494,0.000122494,0.0016304,0.00108202,0.000119653,0.000244988,0.000183741,0.0016304,0.00108202,0.000119653,0.000183741,0.000244988,0.00022552,7.83157,8.15201,8.15201,0.125,,
2,,,,,,,,,,,0.147722,0.00902906,0.00377399,0.001887,0.00532072,0.000157882,6.51603,3.25801,0.2583,0.0590775,0.02527,0.012635,,,,,118.178,,0.0722324,,0.0301919,,0.015096,,,0.00118178,0.000144465,0.00015096,0.00015096,,,,,,0.266036,0.00789409,0.00325801,0.00162901,998.552,999,499.92,500,199.967,200,999.833,100,,0.0051735,0.00472711,0.000144465,0.00015096,0.00015096,0.00236348,0.00118178,0.00057786,0.000301919,0.000301919,0.00252743,0.00118178,0.00028893,0.000603839,0.000452879,0.00252743,0.00118178,0.00028893,0.000452879,0.000603839,0.000258675,0.000118174,0.000126371,0.000126371,0.125,,
3,,,,,,,,,,,0.163209,0.0164965,0.00701879,0.0035094,0.00828852,0.000403493,0.000168885,8.44424,0.301886,0.0870849,0.0379759,0.018988,,,,,130.567,,0.131972,,0.0561504,,0.0280752,,,0.00130567,0.000263944,0.000280752,0.000280752,,,,,,0.414426,0.0201746,0.00844424,0.00422212,998.28,999,499.848,500,199.935,200,999.677,100,,0.00604813,0.00522269,0.000263944,0.000280752,0.000280752,0.00348445,0.00130567,0.00105578,0.000561504,0.000561504,0.00379882,0.00130567,0.000527888,0.00112301,0.000842255,0.00379882,0.00130567,0.000527888,0.000842255,0.00112301,0.000302407,0.000174223,0.000189941,0.000189941,0.125,,
4,,,,,,,,,,,0.182827,0.0270196,0.0116724,0.00583621,0.0115431,0.000820756,0.000348012,0.000174006,0.360093,0.126421,0.0559242,0.0279621,,,,,146.262,,0.216157,,0.0933793,,0.0466897,,,0.00146262,0.000432313,0.000466897,0.000466897,,,,,,0.577154,0.0410378,0.0174006,0.00870031,997.96,999,499.743,500,199.889,200,999.446,100,,0.00721657,0.00585047,0.000432313,0.000466897,0.000466897,0.00505946,0.00146262,0.00172925,0.000933793,0.000933793,0.00559552,0.00146262,0.000864627,0.00186759,0.00140069,0.00559552,0.00146262,0.000864627,0.00140069,0.00186759,0.000360829,0.000252973,0.000279776,0.000279776,0.125,,
5,,,,,,,,,,,0.208133,0.0418275,0.0183044,0.00915222,0.0151752,0.00147831,0.000634289,0.000317145,0.438627,0.18162,0.0812155,0.0406077,,,,,166.506,,0.33462,,0.146436,,0.0732178,,,0.00166506,0.000669241,0.000732178,0.000732178,,,,,,0.758758,0.0739154,0.0317145,0.0158572,997.576,999,499.591,500,199.822,200,999.109,100,,0.00879385,0.00666026,0.000669241,0.000732178,0.000732178,0.00727074,0.00166506,0.00267696,0.00146436,0.00146436,0.00812879,0.00166506,0.00133848,0.00292871,0.00219653,0.00812879,0.00166506,0.00133848,0.00219653,0.00292871,0.000439693,0.000363537,0.000406439,0.000406439,0.125,,
6,,,,,,,,,,,0.241299,0.0626395,0.0277114,0.0138557,0.0193103,0.00247237,0.00107224,0.000536121,0.545451,0.259005,0.11678,0.0583898,,,,,193.039,,0.501116,,0.221692,,0.110846,,,0.00193039,0.00100223,0.00110846,0.00110846,,,,,,0.965513,0.123618,0.0536121,0.026806,997.104,999,499.375,500,199.725,200,998.623,100,,0.0109407,0.00772156,0.00100223,0.00110846,0.00110846,0.0103731,0.00193039,0.00400893,0.00221692,0.00221692,0.0116941,0.00193039,0.00200446,0.00443383,0.00332537,0.0116941,0.00193039,0.00200446,0.00332537,0.00443383,0.000547035,0.000518657,0.000584703,0.000584703,0.125,,
7,,,,,,,,,,,0.285354,0.0918565,0.0410058,0.0205029,0.0241225,0.00393769,0.00172426,0.000862128,0.691653,0.367379,0.166693,0.0833463,,,,,228.283,,0.734852,,0.328047,,0.164023,,,0.00228283,0.0014697,0.00164023,0.00164023,,,,,,120.613,0.196884,0.0862128,0.0431064,996.511,999,499.068,500,199.586,200,997.929,100,,0.0138815,0.00913133,0.0014697,0.00164023,0.00164023,0.0147226,0.00228283,0.00587881,0.00328047,0.00328047,0.0167039,0.00228283,0.00293941,0.00656093,0.0049207,0.0167039,0.00228283,0.00293941,0.0049207,0.00656093,0.000694075,0.000736129,0.000835193,0.000835193,0.125,,
8,,,,,,,,,,,0.344521,0.132826,0.0597378,0.0298689,0.0298538,0.0060628,0.00267762,0.00133881,0.892636,0.518955,0.236606,0.118303,,,,,275.616,,106.261,,0.477902,,0.238951,,,0.00275616,0.00212521,0.00238951,0.00238951,,,,,,149.269,0.30314,0.133881,0.0669405,995.751,999,498.634,500,199.388,200,996.941,100,,0.0179289,0.0110247,0.00212521,0.00238951,0.00238951,0.0208151,0.00275616,0.00850085,0.00477902,0.00477902,0.0237332,0.00275616,0.00425043,0.00955805,0.00716854,0.0237332,0.00275616,0.00425043,0.00716854,0.00955805,0.000896445,0.00104075,0.00118666,0.00118666,0.125,,
9,,,,,,,,,,,0.424671,0.190202,0.0860618,0.0430309,0.0368403,0.00911106,0.00405428,0.00202714,116.972,0.730604,0.334315,0.167158,,,,,339.737,,152.162,,0.688495,,0.344247,,,0.00339737,0.00304323,0.00344247,0.00344247,,,,,,184.201,0.455553,0.202714,0.101357,994.761,999,498.023,500,199.109,200,995.544,100,,0.0235177,0.0135895,0.00304323,0.00344247,0.00344247,0.0293402,0.00339737,0.0121729,0.00688495,0.00688495,0.0335811,0.00339737,0.00608646,0.0137699,0.0103274,0.0335811,0.00339737,0.00608646,0.0103274,0.0137699,0.00117588,0.00146701,0.00167906,0.00167906,0.125,,
